Filename 	 swathNumber 	 targetMz 	 scansPerSwath 	 AvgMzRange 	 SwathProportionOfTotalTIC 	 swDensityAverage 	 swDensityIQR 	 swAvgProportionSinglyCharged 
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	13	712	2277	25	0.043365025	6074	3024	0.075244262
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	14	737	2277	25	0.042110637	6086	3282	0.074437831
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	15	762	2277	25	0.039121265	6071	3753	0.073046387
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	16	787	2277	25	0.040770064	6080	3832	0.072511545
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	17	812	2277	25	0.035230912	5972	4126	0.071802833
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	18	837	2277	25	0.035007528	5864	4703	0.069908456
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	19	862	2277	25	0.030571359	5858	4303	0.06951854
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	20	887	2277	25	0.031773947	5709	4477	0.068553396
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	21	912	2277	25	0.027771828	5638	4618	0.06756662
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	22	937	2277	25	0.027217145	5512	4966	0.065705221
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	23	962	2277	25	0.023645279	5320	5153	0.064960044
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	24	987	2277	25	0.021122887	5158	5147	0.064377579
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	25	1012	2277	25	0.018561224	4949	5298	0.062549027
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	26	1037	2277	25	0.017946868	4887	5234	0.062344141
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	27	1062	2277	25	0.01509196	4643	4809	0.06178293
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	28	1087	2277	25	0.014886822	4447	5014	0.059418018
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	29	1112	2277	25	0.014508093	4403	4996	0.059648449
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	30	1137	2277	25	0.012422182	4207	4997	0.058206055
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	31	1162	2277	25	0.012847567	4197	5122	0.057772149
olgas_K121026_007_SW_Wayne_R2_d00.wiff.scan	32	1187	2277	25	0.01070545	3860	4814	0.055681038
olgas_K121026_008_SW_Wayne_R2_d05.wiff.scan	1	412.5	2277	25	0.030358198	3098	4691	0.072584061
olgas_K121026_008_SW_Wayne_R2_d05.wiff.scan	2	437	2277	25	0.033446547	3647	4891	0.074454799
olgas_K121026_008_SW_Wayne_R2_d05.wiff.scan	3	462	2277	25	0.036655166	3993	4693	0.073805563
olgas_K121026_008_SW_Wayne_R2_d05.wiff.scan	4	487	2277	25	0.038654956	4379	4342	0.075098749
